button press for z-direction,X Payload Deflection (mm),X Crane Position (mm),X Actual Velocity (mm/sec),Z-axis actual position,button press for x-direction,Time Y-dir (sec),Y Payload Deflection (mm),Y Crane Position (mm),Y Actual Velocity (mm/sec),Z-axis actual velocity,button press for y direction
0,-41,188,0,1729,0,16.01694,55,-593,36,0,0
0,-41,188,0,1729,0,16.06785,54,-591,40,0,0
0,-41,188,0,1729,0,16.1191,51,-589,42,0,0
0,-41,188,0,1729,0,16.17003,50,-587,44,0,0
0,-42,188,0,1729,0,16.22088,48,-584,48,0,0
0,-41,188,0,1729,0,16.27214,39,-582,50,0,0
0,-41,188,0,1729,0,16.32297,36,-579,54,0,0
0,-41,188,0,1729,0,16.37392,32,-576,56,0,0
0,-41,188,0,1729,0,16.42521,29,-573,60,0,0
0,-42,188,0,1729,0,16.47598,24,-570,64,0,0
0,-42,188,0,1729,0,16.57786,19,-567,66,0,0
0,-41,188,0,1729,0,16.57786,14,-563,70,0,0
0,-41,188,0,1729,0,16.62904,-2,-560,72,0,0
0,-41,188,0,1729,0,16.68009,-7,-556,76,0,0
0,-41,188,0,1729,0,16.73118,-12,-552,80,0,0
0,-41,188,0,1729,0,16.78192,-16,-548,82,0,0
0,-42,188,0,1729,0,16.8329,-20,-543,86,0,0
0,-42,188,0,1729,0,16.88417,-24,-539,88,0,0
0,-42,188,0,1729,0,16.93509,-27,-534,90,0,0
0,-42,188,0,1729,0,16.986,-30,-529,94,0,0
0,-42,188,0,1729,0,17.03733,-33,-525,96,0,0
0,-42,188,0,1729,0,17.08809,-36,-520,98,0,0
0,-42,188,0,1729,0,17.19011,-37,-514,100,0,0
0,-42,188,0,1729,0,17.24105,-41,-509,102,0,0
0,-42,188,0,1729,0,17.29197,-41,-504,104,0,0
0,-42,188,0,1729,0,17.34317,-41,-499,106,0,0
0,-42,188,0,1729,0,17.39404,-39,-493,106,0,0
0,-41,188,0,1729,0,17.39404,-38,-488,108,0,0
0,-42,188,0,1729,0,17.44503,-36,-482,110,0,0
0,-42,188,0,1729,0,17.49628,-33,-477,110,0,0
0,-42,188,0,1729,0,17.59802,-30,-471,112,0,0
0,-41,188,0,1729,0,17.70052,-27,-465,112,0,0
0,-41,188,0,1729,0,17.80268,-24,-459,112,0,0
0,-41,188,0,1729,0,17.85308,-20,-454,112,0,0
0,-42,188,0,1729,0,17.85308,-2,-448,112,0,0
0,-42,188,0,1729,0,18.00651,2,-442,114,0,0
0,-42,188,0,1729,0,18.05706,7,-436,114,0,0
0,-42,188,0,1729,0,18.15948,12,-431,114,0,0
0,-42,188,0,1729,0,18.21006,18,-425,114,0,0
0,-42,188,0,1729,0,18.31248,23,-419,114,0,0
0,-42,188,0,1729,0,18.36308,27,-413,114,0,0
0,-42,188,0,1729,0,18.41439,32,-407,114,0,0
0,-42,188,0,1729,0,18.51692,37,-402,114,0,0
0,-41,188,0,1729,0,18.5675,48,-396,114,0,0
0,-41,188,0,1729,0,18.5675,50,-390,114,0,0
0,-41,188,0,1729,0,18.61829,54,-384,114,0,0
0,-41,188,0,1729,0,18.66936,56,-378,114,0,0
0,-41,188,0,1729,0,18.77123,59,-372,114,0,0
0,-41,188,0,1729,0,18.82215,60,-367,116,0,0
0,-42,188,0,1729,0,18.97528,62,-361,116,0,0
